,ticker_start,esg_score_year_start,environment_score_start,social_score_start,governance_score_start,total_score_start,Date_start,High_start,Low_start,Open_start,Close_start,Volume_start,Adj Close_start,MarketData_Year_start,environment_score_end,social_score_end,governance_score_end,total_score_end,Date_end,High_end,Low_end,Open_end,Close_end,Volume_end,Adj Close_end,MarketData_Year_end,Annual_Return
360,DXCM,2021,5.93,13.04,8.23,27.21,2021-01-04,369.470001220703,351.83999633789,366.070007324218,357.739990234375,1019900,357.739990234375,2021,5.93,13.04,8.23,27.21,2021-12-31,547.219970703125,536.380004882812,544.150024414062,536.950012207031,321400,536.950012207031,2021,0.46679597198322054
361,DXCM,2022,215.0,236.0,215.0,666.0,2022-01-03,532.789978027343,513.0,531.799987792968,520.789978027343,923400,520.789978027343,2022,5.57,11.43,8.28,25.28,2022-04-14,500.0,487.519989013671,499.399993896484,492.109985351562,410200,492.109985351562,2022,-0.07463332710127375
362,EA,2022,360.0,300.0,225.0,885.0,2022-01-03,135.979995727539,131.75,131.929992675781,134.949996948242,2033900,134.768295288085,2022,360.0,300.0,225.0,885.0,2022-04-14,123.959999084472,121.190002441406,123.629997253417,122.599998474121,2036400,122.599998474121,2022,-0.0707192808278898
363,EBAY,2019,1.69,11.13,7.32,20.17,2019-01-02,28.9599990844726,27.5599994659423,27.6499996185302,28.8500003814697,11190300,27.5950756072998,2019,1.69,11.13,7.32,20.17,2019-12-31,36.1199989318847,35.5400009155273,35.810001373291,36.1100006103515,7437700,35.0609626770019,2019,0.30596749036306176
364,EBAY,2020,1.69,11.41,7.72,20.81,2020-01-02,36.5,36.1399993896484,36.4099998474121,36.2999992370605,4979300,35.2454414367675,2020,1.69,11.41,7.72,20.81,2020-12-31,50.810001373291,50.0,50.6100006103515,50.25,3597200,49.4916305541992,2020,0.380115358708841
365,EBAY,2021,1.34,10.79,7.54,19.67,2021-01-04,51.9000015258789,50.4500007629394,50.4799995422363,51.5,7843500,50.7227668762207,2021,1.34,10.79,7.54,19.67,2021-12-31,66.9199981689453,65.7300033569336,66.7399978637695,66.5,5935800,66.2255706787109,2021,0.3173534192360653
366,EBAY,2022,500.0,302.0,305.0,1107.0,2022-01-03,67.120002746582,65.6600036621093,66.4499969482421,66.8000030517578,6685500,66.5243301391601,2022,0.93,9.33,6.71,16.98,2022-04-14,55.4700012207031,53.9799995422363,55.2000007629394,54.1500015258789,4452200,54.1500015258789,2022,-0.18510151974790412
367,ECL,2019,14.41,10.3,7.48,32.17,2019-01-02,146.309997558593,143.539993286132,145.5,144.919998168945,1429900,140.46369934082,2019,14.41,10.3,7.48,32.17,2019-12-31,193.119995117187,191.0,191.779998779296,192.990005493164,775100,188.899261474609,2019,0.3263917903310241
368,ECL,2020,13.32,9.8,7.06,30.19,2020-01-02,193.889999389648,189.850006103515,193.660003662109,190.229995727539,1590500,186.19775390625,2020,13.32,9.8,7.06,30.19,2020-12-31,216.83999633789,214.729995727539,215.25,216.360000610351,752300,213.774444580078,2020,0.11721572094900981
369,ECL,2021,10.33,8.6,6.54,25.47,2021-01-04,220.449996948242,213.110000610351,218.0,214.309997558593,1459900,211.748947143554,2021,10.33,8.6,6.54,25.47,2021-12-31,235.479995727539,233.080001831054,233.080001831054,234.58999633789,500200,233.836822509765,2021,0.07610090063252294
